"LOB","aqi_category","baseline_aqi","lift_vs_baseline"
"ADV","good","moderate",0.882313504010875
"ADV","moderate","moderate",1
"ADV","unhealthy_sg","moderate",2.611527843782
"ADV","unhealthy","moderate",1.94990270122599
"ADV","very_unhealthy","moderate",3.35466230006754
"ADV","hazardous","moderate",4.68441408936551
"CLF","good","moderate",0.974707409119472
"CLF","moderate","moderate",1
"CLF","unhealthy_sg","moderate",1.94939735240322
"CLF","unhealthy","moderate",1.45090435733303
"CLF","very_unhealthy","moderate",2.05187942784972
"CLF","hazardous","moderate",2.47156040870521
"COM","good","moderate",0.490576476019796
"COM","moderate","moderate",1
"COM","unhealthy_sg","moderate",12.7729493579769
"COM","unhealthy","moderate",10.4012495525721
"COM","very_unhealthy","moderate",53.0735028351049
"COM","hazardous","moderate",171.16718566571
"MCD","good","moderate",0.671650977555386
"MCD","moderate","moderate",1
"MCD","unhealthy_sg","moderate",0.0441188263288871
"MCD","unhealthy","moderate",0.381589572566445
"MCD","very_unhealthy","moderate",0.0977995031028152
"MCD","hazardous","moderate",0.0604136252801571
